text,intent
what was the problem with my card yesterday,payment_issue
remind me of the invoice total for my plumbing bill,payment_issue
explain why was my card declined at boston market,payment_issue
what is the total amount that i owe to sony and verizon,payment_issue
what do i owe for my utilities bill,payment_issue
i wish to pay my cable bill,payment_issue
i'd really like to pay this bill,payment_issue
how much is my electric bill for this month,payment_issue
i need help paying my rent bill,payment_issue
can you check and see how much i owe on my cable bill,payment_issue
i need help paying my tuition bill,payment_issue
how much is my gas bill,payment_issue
please pay electric bill,payment_issue
how much is my comcast bill,payment_issue
what is the balance on my bills,payment_issue
how much are my cable and water bills,payment_issue
so why was my card declined yesterday,payment_issue
can you pay the bill now,payment_issue
do you know how much i owe on my cable bill,payment_issue
trying to buy a mug from target but my card declined,payment_issue
what is the cost of water and electric this month,payment_issue
how much do i have to pay on my bills,payment_issue
please tell me how to pay my gas bill,payment_issue
my card got declined at target while buying a tv,payment_issue
my card did not work yesterday,payment_issue
i need help to pay my electric bill,payment_issue
please let me know how much my bills for comcast and sprint total,payment_issue
pay my cable bill from my facebook account,payment_issue
looks like someone made an unauthorized charge to nike on my account,refund_request
can you report credit card fraud for me,refund_request
i want to report fraudulent activity on my visa card,refund_request
i need to see my shopping transactions,refund_request
can you check on a transaction for me,refund_request
what are my recent transaction,refund_request
i want to see my recent transaction,refund_request
can you show me transactions related to utilities,refund_request
please tell me all the transactions i've made recently,refund_request
please show me my recent transaction,refund_request
can you show me the transactions that were made last night at the restaurant,refund_request
what's the last transaction i made yesterday,refund_request
report fraudulent activity on my debit card,refund_request
let me see the list of tranaction on my discovery credit card,refund_request
can you help me deal with this fraudulent transaction from verizon on my account,refund_request
pull up my grocery transactions,refund_request
what amount did i spend for food on chase visa on current bill,refund_request
may transactions for last 2 days,refund_request
i need to know how to report fraud on my discover card,refund_request
show me the transactions from costco yesterday,refund_request
i have a fraudulent transaction from wal mart on my account right now,refund_request
it looks like someone made an unauthorized amazon purchase on my account,refund_request
there is an unauthorized transaction on my bank of america checking,refund_request
there seems to be fraudulent activity,refund_request
please show me what transactions i made on the first of this month,refund_request
show me recent transactions,refund_request
show me the transaction on macys,refund_request
bring up all purchases from target,refund_request
i would like to see the transactions i made last week,refund_request
i think someone's using my visa card without my permission,refund_request
what is the process i need to follow to get a new credit card,return_item
i wanna apply for a bank of america travel rewards credit card,return_item
my card is damaged and unusable,return_item
report the card has been torn,return_item
"my card snapped, can you tell my bank to send a replacement",return_item
apply for a kbc card for me,return_item
i would like to apply for a discover card,return_item
"my card got damaged and i need to report it, please",return_item
report the card has been damaged,return_item
how do i sign up for a new credit card,return_item
please make a report that my card is split,return_item
am i able to apply for a new credit card,return_item
i need to report a new card please the atm hurt mine,return_item
direct me to the application for a new credit card,return_item
i want to report my damaged card i accidentally cut it up thinking it was my expired card,return_item
the atm chewed up my card can i get a new one,return_item
i would like to apply for a new credit card,return_item
my card is broken,return_item
"an atm ate my card, how do i report it",return_item
my card got melted and i need to report it,return_item
i am interested in applying for a visa card,return_item
how do i report a melted credit card,return_item
"my card got melted in the dryer and i need to report it, please",return_item
my card has a deep crease through the middle so i would like to report it,return_item
i need to report my bent card,return_item
tell me how to apply for an american express card,return_item
can you help me get a new credit card,return_item
how to apply for platinum card,return_item
i need help figuring out a new credit card to get,return_item
who do i report to if my credit card snaps,return_item
mailing to me for a new card takes how long,shipping_issue
"for anew card to be mailed to me, how long does it take",shipping_issue
what's the procedure to deal with lost luggage,shipping_issue
my luggage is missing i was on spirit flight ab123 from chicago,shipping_issue
when does the replacement card arrive,shipping_issue
what's the timeline on replacing a stolen credit card,shipping_issue
do when you when my replacement card will get mailed,shipping_issue
"if i lost my luggage, where can i get help",shipping_issue
when will you mail me a replacement card,shipping_issue
when will my replacement card get mailed,shipping_issue
will you notify me when my new card is on the way,shipping_issue
how long until i get a replacement card,shipping_issue
i lost my luggage,shipping_issue
if i order a new card how long would it take,shipping_issue
what's the usual time to get a new card when your previous one was lost,shipping_issue
i got to vegas airport but my bags didn't,shipping_issue
who do i report lost luggage to,shipping_issue
my bags did not arrive here at smf,shipping_issue
how long does it take to replace a lost card,shipping_issue
i'm here at dia but my luggage isn't!,shipping_issue
i was on american airlines flight ab123 out of houston and i can't find my luggage,shipping_issue
i need to figure out what to do about lost luggage,shipping_issue
what if i lost my luggage,shipping_issue
do you know where my luggage is,shipping_issue
can you help me find my luggage it was lost on delta flight abc123 from houston,shipping_issue
"where is my luggage, i was on delta flight ab123 out of dc",shipping_issue
how soon will i be sent a new card,shipping_issue
it appears that my luggage has vanished,shipping_issue
what is the earliest date i can get my new card,shipping_issue
when can i expect my new card to get here,shipping_issue
when do i need to pay my at&t bill,subscription_issue
"what's the apr on my amex card, please",subscription_issue
how much is the apr these days on my nordstrom credit card,subscription_issue
what apr does this credit card have,subscription_issue
when do i have to pay my electric bill by,subscription_issue
when do i need to pay the cable bill,subscription_issue
when do i need to pay my annual payment for auto insurance,subscription_issue
tell me how the apr on my hy-vee card is,subscription_issue
what's my apr on the card i recently used to make a purchase,subscription_issue
would you say that my card's apr is,subscription_issue
when is my visa due,subscription_issue
what day is my bill due,subscription_issue
how much do i pay in apr on my amex card,subscription_issue
what apr do i have with my credit card,subscription_issue
when do i have to pay my gas bill by,subscription_issue
can you look into whether my card has good apr or not,subscription_issue
fill me in on the apr for my american express card,subscription_issue
i'd like to know the apr on my visa card,subscription_issue
what is the credit card apr at the moment,subscription_issue
how soon before my catering bill is due,subscription_issue
what is my apr,subscription_issue
how much time left to pay my bill,subscription_issue
what is my credit card's annual percentage rate,subscription_issue
can you tell me the date my credit card is due,subscription_issue
can you give me an appraisal of my card's apr,subscription_issue
i need to know when i must pay my car bill,subscription_issue
what is the due date of my att bill,subscription_issue
when's the next time i have to pay the insurance,subscription_issue
when is the bill due,subscription_issue
what's the apr of my discover card,subscription_issue
